replication,trait,outcome,pearson_r
1,initial_confidence,peer_share,0.0506273278387091
1,initial_confidence,ai_share,-0.03398240130407188
1,initial_confidence,hybrid_share,-0.025403405157143958
1,initial_confidence,mean_quality,-0.0761707147060616
1,initial_confidence,final_knowledge,-0.10080008139709948
1,initial_confidence,final_mean_peer_trust,-0.06085332719515073
1,initial_confidence,final_weighted_degree,-0.10907428673302459
1,initial_confidence,knowledge_gain,0.09483524442240232
1,ai_access,peer_share,-0.43927108967622247
1,ai_access,ai_share,0.325930695517465
1,ai_access,hybrid_share,0.1761405833268668
1,ai_access,mean_quality,0.061689952369857484
1,ai_access,final_knowledge,0.05051336947461262
1,ai_access,final_mean_peer_trust,0.03244159526947268
1,ai_access,final_weighted_degree,-0.09226454535315184
1,ai_access,knowledge_gain,0.001735430633119543
2,initial_knowledge,peer_share,0.2644157404168395
2,initial_knowledge,ai_share,-0.19694782216857323
2,initial_knowledge,hybrid_share,-0.12736231486560567
2,initial_knowledge,mean_quality,0.9734223150881917
2,initial_knowledge,final_knowledge,0.986273504880836
2,initial_knowledge,final_mean_peer_trust,0.9070945125683597
2,initial_knowledge,final_weighted_degree,0.10191262905701948
2,initial_knowledge,knowledge_gain,-0.9453021386465716
2,ai_literacy,peer_share,0.011769743057241298
2,ai_literacy,ai_share,0.029262545522190802
2,ai_literacy,hybrid_share,-0.06007821396467219
2,ai_literacy,mean_quality,0.03684247473261387
2,ai_literacy,final_knowledge,0.030080170087504927
2,ai_literacy,final_mean_peer_trust,-0.011091481922858944
2,ai_literacy,final_weighted_degree,-0.08115834869926275
2,ai_literacy,knowledge_gain,0.21503121299623593
2,sociability,peer_share,0.32533782339813716
2,sociability,ai_share,-0.37842346318257236
2,sociability,hybrid_share,0.03801162203115459
2,sociability,mean_quality,-0.028328196173808447
2,sociability,final_knowledge,-0.023736652219882907
2,sociability,final_mean_peer_trust,0.04951135051681115
2,sociability,final_weighted_degree,-0.008334810451042693
2,sociability,knowledge_gain,0.08185286858753972
2,verification,peer_share,-0.06425176955693414
2,verification,ai_share,0.04629192134031893
2,verification,hybrid_share,0.03318817821879768
2,verification,mean_quality,-0.024051003981964757
2,verification,final_knowledge,-0.02428680464672844
2,verification,final_mean_peer_trust,-0.06219712020417416
2,verification,final_weighted_degree,-0.013815784335700361
2,verification,knowledge_gain,0.14323255115594535
2,initial_confidence,peer_share,0.03826899943383304
2,initial_confidence,ai_share,0.014378539304033116
2,initial_confidence,hybrid_share,-0.079786570124575
2,initial_confidence,mean_quality,0.03024400546517351
2,initial_confidence,final_knowledge,-0.011537889462583894
2,initial_confidence,final_mean_peer_trust,-0.031192713437122935
2,initial_confidence,final_weighted_degree,0.003268866481409361
2,initial_confidence,knowledge_gain,-0.0047950890878841815
2,ai_access,peer_share,-0.5077242644162936
2,ai_access,ai_share,0.39993907806015455
2,ai_access,hybrid_share,0.21341826331883387
2,ai_access,mean_quality,0.1851254180898587
2,ai_access,final_knowledge,0.1823732057876366
2,ai_access,final_mean_peer_trust,0.09574160350645541
2,ai_access,final_weighted_degree,0.030769848969468175
2,ai_access,knowledge_gain,-0.17550358159034737
3,initial_knowledge,peer_share,0.20167436345153397
3,initial_knowledge,ai_share,-0.058052237630499486
3,initial_knowledge,hybrid_share,-0.1981595748768983
3,initial_knowledge,mean_quality,0.9723956909374079
3,initial_knowledge,final_knowledge,0.9884645966134054
3,initial_knowledge,final_mean_peer_trust,0.8805662006958995
3,initial_knowledge,final_weighted_degree,0.0274076745596044
3,initial_knowledge,knowledge_gain,-0.9545833238865324
3,ai_literacy,peer_share,-0.18654433114562974
3,ai_literacy,ai_share,0.10783197428896764
3,ai_literacy,hybrid_share,0.10923071116280787
3,ai_literacy,mean_quality,-0.015636751382004817
3,ai_literacy,final_knowledge,-0.030381742776696134
3,ai_literacy,final_mean_peer_trust,-0.040924708475453014
3,ai_literacy,final_weighted_degree,-0.07106028536706857
3,ai_literacy,knowledge_gain,0.19412005082646636
3,sociability,peer_share,0.19437714030321893
3,sociability,ai_share,-0.2313524408273792
3,sociability,hybrid_share,0.04897785113986767
3,sociability,mean_quality,0.019619806283160193
3,sociability,final_knowledge,0.029113878220395302
3,sociability,final_mean_peer_trust,0.05658397067372167
3,sociability,final_weighted_degree,0.016172055869023545
3,sociability,knowledge_gain,0.09039515855300792
3,verification,peer_share,-0.07146362939954067
3,verification,ai_share,0.05749303479174053
3,verification,hybrid_share,0.019704640278092676
3,verification,mean_quality,0.12234433874616935
3,verification,final_knowledge,0.08936009316453535
3,verification,final_mean_peer_trust,0.09021403485965943
3,verification,final_weighted_degree,-0.08430575673615004
3,verification,knowledge_gain,0.007211806422528472
3,initial_confidence,peer_share,-0.05029169566855633
3,initial_confidence,ai_share,-0.00029285388030118767
3,initial_confidence,hybrid_share,0.06962134693415688
3,initial_confidence,mean_quality,0.05259898140730159
3,initial_confidence,final_knowledge,0.035286578271830016
3,initial_confidence,final_mean_peer_trust,0.02141637371282656
3,initial_confidence,final_weighted_degree,0.01219115706199129
3,initial_confidence,knowledge_gain,-0.04611451905213219
3,ai_access,peer_share,-0.5380295438524691
3,ai_access,ai_share,0.3633858992692385
3,ai_access,hybrid_share,0.24338363546614553
3,ai_access,mean_quality,0.06962876305863203
3,ai_access,final_knowledge,0.0814741957014487
3,ai_access,final_mean_peer_trust,0.012272975362263856
3,ai_access,final_weighted_degree,-0.02703075347786711
3,ai_access,knowledge_gain,-0.06460924831278665
4,initial_knowledge,peer_share,0.21883937169938225
4,initial_knowledge,ai_share,-0.08172526631420997
4,initial_knowledge,hybrid_share,-0.19520466920778595
4,initial_knowledge,mean_quality,0.9772896111641719
4,initial_knowledge,final_knowledge,0.9898356939255147
4,initial_knowledge,final_mean_peer_trust,0.8830847768652436
4,initial_knowledge,final_weighted_degree,0.03606667835986716
4,initial_knowledge,knowledge_gain,-0.9594738318139013
4,ai_literacy,peer_share,-0.16166372480561292
4,ai_literacy,ai_share,0.1540083297382524
4,ai_literacy,hybrid_share,0.005054216407214791
4,ai_literacy,mean_quality,0.08319511676823228
4,ai_literacy,final_knowledge,0.08978788113335702
4,ai_literacy,final_mean_peer_trust,0.00160351804423568
4,ai_literacy,final_weighted_degree,0.11315799937625108
4,ai_literacy,knowledge_gain,0.09443785619469786
4,sociability,peer_share,0.25509123377315873
4,sociability,ai_share,-0.3145346231447886
4,sociability,hybrid_share,0.09831395302099942
4,sociability,mean_quality,-0.08865148473958327
4,sociability,final_knowledge,-0.11361409404894471
4,sociability,final_mean_peer_trust,0.003910276792878191
4,sociability,final_weighted_degree,-0.00011645724703841484
4,sociability,knowledge_gain,0.2024124733845027
4,verification,peer_share,-0.1619108012285249
4,verification,ai_share,0.064929316630131
4,verification,hybrid_share,0.13779059764027682
4,verification,mean_quality,0.04995533869656983
4,verification,final_knowledge,0.03442377125739558
4,verification,final_mean_peer_trust,-0.007689982765278131
4,verification,final_weighted_degree,0.11736858158381973
4,verification,knowledge_gain,0.05983148652662931
4,initial_confidence,peer_share,-0.02705179766001224
4,initial_confidence,ai_share,0.019728649280458255
4,initial_confidence,hybrid_share,0.00982487020936967
4,initial_confidence,mean_quality,-0.07379084950644801
4,initial_confidence,final_knowledge,-0.09679744432659605
4,initial_confidence,final_mean_peer_trust,-0.0717631846493103
4,initial_confidence,final_weighted_degree,0.09141603411262862
4,initial_confidence,knowledge_gain,0.11027978560811183
4,ai_access,peer_share,-0.38687419717159155
4,ai_access,ai_share,0.35789508954569005
4,ai_access,hybrid_share,0.0279355116203929
4,ai_access,mean_quality,0.06838234561312244
4,ai_access,final_knowledge,0.06776415066611802
4,ai_access,final_mean_peer_trust,0.05828740503493217
4,ai_access,final_weighted_degree,0.00904884833938768
4,ai_access,knowledge_gain,-0.058362108985246304
5,initial_knowledge,peer_share,0.3246663627230142
5,initial_knowledge,ai_share,-0.2514339153129824
5,initial_knowledge,hybrid_share,-0.13066608851914494
5,initial_knowledge,mean_quality,0.9754464250886696
5,initial_knowledge,final_knowledge,0.9894627374532005
5,initial_knowledge,final_mean_peer_trust,0.9069014485413088
5,initial_knowledge,final_weighted_degree,0.0064399643122279755
5,initial_knowledge,knowledge_gain,-0.9570614489174529
5,ai_literacy,peer_share,-0.2119182447034695
5,ai_literacy,ai_share,0.18355018537046175
5,ai_literacy,hybrid_share,0.060407126558020253
5,ai_literacy,mean_quality,-0.017940755581409493
5,ai_literacy,final_knowledge,-0.03212152927758071
5,ai_literacy,final_mean_peer_trust,-0.0648097995673016
5,ai_literacy,final_weighted_degree,-0.042285916265621705
5,ai_literacy,knowledge_gain,0.1757955345147177
5,sociability,peer_share,0.14725309170320333
5,sociability,ai_share,-0.2664549134136084
5,sociability,hybrid_share,0.1358938266725094
5,sociability,mean_quality,0.024418057810442515
5,sociability,final_knowledge,0.017320169632114902
5,sociability,final_mean_peer_trust,0.07071803047628923
5,sociability,final_weighted_degree,-0.006776380713956492
5,sociability,knowledge_gain,0.10833337520411901
5,verification,peer_share,-0.3103219328239628
5,verification,ai_share,0.1713116572849429
5,verification,hybrid_share,0.213259341569941
5,verification,mean_quality,0.034954887618360686
5,verification,final_knowledge,0.03677984523503616
5,verification,final_mean_peer_trust,-0.017068458006613312
5,verification,final_weighted_degree,0.045937914616464855
5,verification,knowledge_gain,0.0983418602923491
5,initial_confidence,peer_share,0.022064497894451602
5,initial_confidence,ai_share,-0.007829351525895829
5,initial_confidence,hybrid_share,-0.020734590496335442
5,initial_confidence,mean_quality,0.004883989992384623
5,initial_confidence,final_knowledge,-0.04560487727233618
5,initial_confidence,final_mean_peer_trust,0.010419643941031736
5,initial_confidence,final_weighted_degree,0.08249061156537268
5,initial_confidence,knowledge_gain,0.03527289570762321
5,ai_access,peer_share,-0.6260787800068273
5,ai_access,ai_share,0.47889796511179317
5,ai_access,hybrid_share,0.2596061023898656
5,ai_access,mean_quality,-0.0007704892871595768
5,ai_access,final_knowledge,-0.007673283745525234
5,ai_access,final_mean_peer_trust,-0.07714577737157581
5,ai_access,final_weighted_degree,-0.03461170799617145
5,ai_access,knowledge_gain,0.0230110973927578
6,initial_knowledge,peer_share,0.2573102060423253
6,initial_knowledge,ai_share,-0.22444687426265375
6,initial_knowledge,hybrid_share,-0.05461268496288936
6,initial_knowledge,mean_quality,0.9775295103194531
6,initial_knowledge,final_knowledge,0.9906435163772686
6,initial_knowledge,final_mean_peer_trust,0.894811332960515
6,initial_knowledge,final_weighted_degree,0.04100155257407382
6,initial_knowledge,knowledge_gain,-0.9531478227481393
6,ai_literacy,peer_share,-0.032254926661952336
6,ai_literacy,ai_share,-0.03405691270774289
6,ai_literacy,hybrid_share,0.08291997499742894
6,ai_literacy,mean_quality,0.15674331010696135
6,ai_literacy,final_knowledge,0.1546181277806954
6,ai_literacy,final_mean_peer_trust,0.13137008518815335
6,ai_literacy,final_weighted_degree,-0.0257249906257062
6,ai_literacy,knowledge_gain,0.019611657877815384
6,sociability,peer_share,0.32404768633864556
6,sociability,ai_share,-0.30297539525335626
6,sociability,hybrid_share,-0.0439283048809228
6,sociability,mean_quality,0.11397259040670306
6,sociability,final_knowledge,0.11881944430075984
6,sociability,final_mean_peer_trust,0.12204807829760433
6,sociability,final_weighted_degree,0.012623737280131256
6,sociability,knowledge_gain,-0.03868184401259194
6,verification,peer_share,-0.11778505159301111
6,verification,ai_share,0.0760429413001462
6,verification,hybrid_share,0.057657339697028506
6,verification,mean_quality,0.09329113541803997
6,verification,final_knowledge,0.06510483326975727
6,verification,final_mean_peer_trust,0.017089590842179085
6,verification,final_weighted_degree,0.014076111193951225
6,verification,knowledge_gain,0.10614537424300755
6,initial_confidence,peer_share,0.0482578750176663
6,initial_confidence,ai_share,0.028838003670515606
6,initial_confidence,hybrid_share,-0.09700754337200608
6,initial_confidence,mean_quality,-0.03368728970581165
6,initial_confidence,final_knowledge,-0.05795007633021555
6,initial_confidence,final_mean_peer_trust,-0.05665311433296475
6,initial_confidence,final_weighted_degree,-0.056745484525784436
6,initial_confidence,knowledge_gain,0.0517665492095493
6,ai_access,peer_share,-0.4824728295881465
6,ai_access,ai_share,0.405335110221973
6,ai_access,hybrid_share,0.12138260928145946
6,ai_access,mean_quality,0.02844834947679236
6,ai_access,final_knowledge,0.04114362841390762
6,ai_access,final_mean_peer_trust,0.009204107144194593
6,ai_access,final_weighted_degree,-0.062162527174191066
6,ai_access,knowledge_gain,-0.06877415310371279
7,initial_knowledge,peer_share,0.38991803626648175
7,initial_knowledge,ai_share,-0.2913106374249685
7,initial_knowledge,hybrid_share,-0.1722124974234654
7,initial_knowledge,mean_quality,0.97660748836901
7,initial_knowledge,final_knowledge,0.9896714071922116
7,initial_knowledge,final_mean_peer_trust,0.890926575637192
7,initial_knowledge,final_weighted_degree,-0.07936151349611144
7,initial_knowledge,knowledge_gain,-0.9509152513880749
7,ai_literacy,peer_share,0.06847833482111296
7,ai_literacy,ai_share,-0.07672610384496159
7,ai_literacy,hybrid_share,0.0013903678389555543
7,ai_literacy,mean_quality,0.19528726165962443
7,ai_literacy,final_knowledge,0.17655359875364668
7,ai_literacy,final_mean_peer_trust,0.18970969502921353
7,ai_literacy,final_weighted_degree,-0.10705473963691164
7,ai_literacy,knowledge_gain,0.032316293538210014
7,sociability,peer_share,0.22414357314472746
7,sociability,ai_share,-0.321368051877539
7,sociability,hybrid_share,0.09145107996224017
7,sociability,mean_quality,0.0961740046246063
7,sociability,final_knowledge,0.09765649583364365
7,sociability,final_mean_peer_trust,0.05254701083501883
7,sociability,final_weighted_degree,0.04559798422269339
7,sociability,knowledge_gain,-0.0052022836937018506
7,verification,peer_share,-0.13938296845308332
7,verification,ai_share,-0.014843330001027864
7,verification,hybrid_share,0.20878325960812683
7,verification,mean_quality,0.06552614042388735
7,verification,final_knowledge,0.05930810383581516
7,verification,final_mean_peer_trust,0.07845350001795234
7,verification,final_weighted_degree,-0.07140102939154738
7,verification,knowledge_gain,0.10893584878312097
7,initial_confidence,peer_share,-0.06661991818291732
7,initial_confidence,ai_share,0.014811517769418019
7,initial_confidence,hybrid_share,0.07268405413719357
7,initial_confidence,mean_quality,0.1335606050748575
7,initial_confidence,final_knowledge,0.10375707399284914
7,initial_confidence,final_mean_peer_trust,0.10096405417995478
7,initial_confidence,final_weighted_degree,-0.14541630667443553
7,initial_confidence,knowledge_gain,-0.06492916852503908
7,ai_access,peer_share,-0.5068423753365944
7,ai_access,ai_share,0.34708984797039943
7,ai_access,hybrid_share,0.2629256985120616
7,ai_access,mean_quality,-0.09729693330009347
7,ai_access,final_knowledge,-0.11129787078685932
7,ai_access,final_mean_peer_trust,-0.1075659347511382
7,ai_access,final_weighted_degree,-0.009771166894483872
7,ai_access,knowledge_gain,0.08249996572250369
8,initial_knowledge,peer_share,0.3483171877074975
8,initial_knowledge,ai_share,-0.21825357902092993
8,initial_knowledge,hybrid_share,-0.20009270599713933
8,initial_knowledge,mean_quality,0.9785938244049995
8,initial_knowledge,final_knowledge,0.9879354073628818
8,initial_knowledge,final_mean_peer_trust,0.8744443027173274
8,initial_knowledge,final_weighted_degree,0.12486205022904048
8,initial_knowledge,knowledge_gain,-0.9490701105801583
8,ai_literacy,peer_share,0.01091375448027879
8,ai_literacy,ai_share,0.05042706593904992
8,ai_literacy,hybrid_share,-0.09105430126675608
8,ai_literacy,mean_quality,-0.00917927733602453
8,ai_literacy,final_knowledge,-0.028286431392782155
8,ai_literacy,final_mean_peer_trust,-0.025002759048043225
8,ai_literacy,final_weighted_degree,-0.04910230043418833
8,ai_literacy,knowledge_gain,0.2067922375259076
8,sociability,peer_share,0.3046765806795
8,sociability,ai_share,-0.39622061022571675
8,sociability,hybrid_share,0.12895264258254308
8,sociability,mean_quality,-0.02720068052544667
8,sociability,final_knowledge,-0.02283396615987825
8,sociability,final_mean_peer_trust,0.08544837122372763
8,sociability,final_weighted_degree,0.15928726333157106
8,sociability,knowledge_gain,0.14720470127141627
8,verification,peer_share,-0.0153681603945794
8,verification,ai_share,-0.05833032390148039
8,verification,hybrid_share,0.10944675616063802
8,verification,mean_quality,0.09682194914443772
8,verification,final_knowledge,0.10834127989931891
8,verification,final_mean_peer_trust,0.14928592566650623
8,verification,final_weighted_degree,0.03669666424232596
8,verification,knowledge_gain,0.016203350713801964
8,initial_confidence,peer_share,-0.018778833789826782
8,initial_confidence,ai_share,0.05025591112459753
8,initial_confidence,hybrid_share,-0.04619778796121176
8,initial_confidence,mean_quality,0.055537333196313356
8,initial_confidence,final_knowledge,0.02685267443989421
8,initial_confidence,final_mean_peer_trust,0.05124458859391061
8,initial_confidence,final_weighted_degree,-0.020520599083903867
8,initial_confidence,knowledge_gain,-0.021382510508144
8,ai_access,peer_share,-0.4757777752937398
8,ai_access,ai_share,0.36704750048661244
8,ai_access,hybrid_share,0.17126165459067355
8,ai_access,mean_quality,0.034823753519639726
8,ai_access,final_knowledge,0.04658330715061006
8,ai_access,final_mean_peer_trust,-0.019479774359405802
8,ai_access,final_weighted_degree,-0.0039292751432001664
8,ai_access,knowledge_gain,-0.020010349817593493
9,initial_knowledge,peer_share,0.22928268636009091
9,initial_knowledge,ai_share,-0.0029190253933259317
9,initial_knowledge,hybrid_share,-0.28852322815444226
9,initial_knowledge,mean_quality,0.9763687735915694
9,initial_knowledge,final_knowledge,0.9875099188546841
9,initial_knowledge,final_mean_peer_trust,0.8682046843466752
9,initial_knowledge,final_weighted_degree,0.09497229290024511
9,initial_knowledge,knowledge_gain,-0.9479574140839744
9,ai_literacy,peer_share,-0.048959239763312054
9,ai_literacy,ai_share,0.1748739412956423
9,ai_literacy,hybrid_share,-0.15599893248615193
9,ai_literacy,mean_quality,0.13553345623853585
9,ai_literacy,final_knowledge,0.12977297707316607
9,ai_literacy,final_mean_peer_trust,0.10326782999569231
9,ai_literacy,final_weighted_degree,-0.09665991763421826
9,ai_literacy,knowledge_gain,0.06877112167601993
9,sociability,peer_share,0.2860167700680767
9,sociability,ai_share,-0.3321136604511895
9,sociability,hybrid_share,0.050287433459636585
9,sociability,mean_quality,-0.03592143324566272
9,sociability,final_knowledge,-0.0277492383616169
9,sociability,final_mean_peer_trust,0.005604615918217829
9,sociability,final_weighted_degree,0.10224244193960988
9,sociability,knowledge_gain,0.12348807126207607
9,verification,peer_share,-0.07207068328285432
9,verification,ai_share,-0.029216275669122892
9,verification,hybrid_share,0.12832358598223284
9,verification,mean_quality,0.001746519150611487
9,verification,final_knowledge,-0.012843751958311795
9,verification,final_mean_peer_trust,-0.0016497504827116885
9,verification,final_weighted_degree,-0.07500119478826502
9,verification,knowledge_gain,0.06702643303162535
9,initial_confidence,peer_share,0.04316299220193444
9,initial_confidence,ai_share,-0.06383895398207153
9,initial_confidence,hybrid_share,0.02472205284159856
9,initial_confidence,mean_quality,-0.014800560557877814
9,initial_confidence,final_knowledge,-0.049639255465998226
9,initial_confidence,final_mean_peer_trust,-0.04730220555546505
9,initial_confidence,final_weighted_degree,-0.012299465798879174
9,initial_confidence,knowledge_gain,-0.023958871761244883
9,ai_access,peer_share,-0.49479908143390255
9,ai_access,ai_share,0.37314244793021734
9,ai_access,hybrid_share,0.16452044577335256
9,ai_access,mean_quality,-0.08581392264137239
9,ai_access,final_knowledge,-0.04955782779328211
9,ai_access,final_mean_peer_trust,-0.16858618142746748
9,ai_access,final_weighted_degree,0.05540253898079092
9,ai_access,knowledge_gain,0.06855546675397867
10,initial_knowledge,peer_share,0.3294320210102399
10,initial_knowledge,ai_share,-0.24357194163388793
10,initial_knowledge,hybrid_share,-0.14263731890733297
10,initial_knowledge,mean_quality,0.9689394230640366
10,initial_knowledge,final_knowledge,0.986159047721741
10,initial_knowledge,final_mean_peer_trust,0.8773283871373487
10,initial_knowledge,final_weighted_degree,0.07899517361475003
10,initial_knowledge,knowledge_gain,-0.9376534865795143
10,ai_literacy,peer_share,-0.17560695930958242
10,ai_literacy,ai_share,0.14726161454636605
10,ai_literacy,hybrid_share,0.05459048242754265
10,ai_literacy,mean_quality,0.06334089195427464
10,ai_literacy,final_knowledge,0.06590677592295632
10,ai_literacy,final_mean_peer_trust,-0.01468141044759338
10,ai_literacy,final_weighted_degree,0.013126698077391636
10,ai_literacy,knowledge_gain,0.12700050419226108
10,sociability,peer_share,0.22436826059939333
10,sociability,ai_share,-0.3027438120060504
10,sociability,hybrid_share,0.07128565226152118
10,sociability,mean_quality,0.03558720998775292
10,sociability,final_knowledge,0.04313462416463607
10,sociability,final_mean_peer_trust,0.07548022138143622
10,sociability,final_weighted_degree,-0.0501259022383101
10,sociability,knowledge_gain,0.021161843497496342
10,verification,peer_share,-0.06450468831142872
10,verification,ai_share,-0.008949626244214137
10,verification,hybrid_share,0.097642250430265
10,verification,mean_quality,0.09215972023647655
10,verification,final_knowledge,0.09227257023840375
10,verification,final_mean_peer_trust,0.04384891556591157
10,verification,final_weighted_degree,0.08133978684037883
10,verification,knowledge_gain,0.0075924474437392125
10,initial_confidence,peer_share,0.012660029075913529
10,initial_confidence,ai_share,0.07588409125288734
10,initial_confidence,hybrid_share,-0.11039682052357071
10,initial_confidence,mean_quality,0.052789177985574455
10,initial_confidence,final_knowledge,0.04038118029337229
10,initial_confidence,final_mean_peer_trust,0.03255361552524101
10,initial_confidence,final_weighted_degree,-0.0037605724174226128
10,initial_confidence,knowledge_gain,-0.0457935974361675
10,ai_access,peer_share,-0.5400785860132002
10,ai_access,ai_share,0.41788361778100935
10,ai_access,hybrid_share,0.21099266153273466
10,ai_access,mean_quality,-0.01367034188417972
10,ai_access,final_knowledge,-0.016290139519545593
10,ai_access,final_mean_peer_trust,-0.09030477620046679
10,ai_access,final_weighted_degree,-0.01278143396520662
10,ai_access,knowledge_gain,0.026813084388169414
11,initial_knowledge,peer_share,0.32237110492580184
11,initial_knowledge,ai_share,-0.2070580084555788
11,initial_knowledge,hybrid_share,-0.17376466887328268
11,initial_knowledge,mean_quality,0.9753992653374679
11,initial_knowledge,final_knowledge,0.9875325790469888
11,initial_knowledge,final_mean_peer_trust,0.8737525370152
11,initial_knowledge,final_weighted_degree,0.12229130833486576
11,initial_knowledge,knowledge_gain,-0.9456859191604827
11,ai_literacy,peer_share,0.01648165728460445
11,ai_literacy,ai_share,0.009207474834943323
11,ai_literacy,hybrid_share,-0.030887696970336602
11,ai_literacy,mean_quality,0.07098371394597311
11,ai_literacy,final_knowledge,0.05600797797774074
11,ai_literacy,final_mean_peer_trust,-0.01444631832798876
11,ai_literacy,final_weighted_degree,0.1541534892612346
11,ai_literacy,knowledge_gain,0.15953475880192597
11,sociability,peer_share,0.20362125416348287
11,sociability,ai_share,-0.20353891825322076
11,sociability,hybrid_share,-0.028878810657817448
11,sociability,mean_quality,0.20244989518259593
11,sociability,final_knowledge,0.19625124036609615
11,sociability,final_mean_peer_trust,0.17669376767309908
11,sociability,final_weighted_degree,0.07874733594956593
11,sociability,knowledge_gain,-0.026903620989945393
11,verification,peer_share,-0.18279710946150787
11,verification,ai_share,0.07213437747235074
11,verification,hybrid_share,0.1488625481903517
11,verification,mean_quality,0.08109714400008437
11,verification,final_knowledge,0.07036704289475854
11,verification,final_mean_peer_trust,0.028596553391789795
11,verification,final_weighted_degree,0.0777316052213501
11,verification,knowledge_gain,0.07869877780235109
11,initial_confidence,peer_share,-0.10201176657137073
11,initial_confidence,ai_share,0.12032114741454218
11,initial_confidence,hybrid_share,-0.005931726220292524
11,initial_confidence,mean_quality,0.04772937652748304
11,initial_confidence,final_knowledge,0.017406747344740164
11,initial_confidence,final_mean_peer_trust,-0.01046816899986913
11,initial_confidence,final_weighted_degree,0.00014270778065174098
11,initial_confidence,knowledge_gain,0.0006958588945760599
11,ai_access,peer_share,-0.4720379761702687
11,ai_access,ai_share,0.3563344140867126
11,ai_access,hybrid_share,0.1953581275913301
11,ai_access,mean_quality,0.06071859613918365
11,ai_access,final_knowledge,0.035262751679192884
11,ai_access,final_mean_peer_trust,-0.042039548981371216
